stationID,Date,Time,PM2.5,PM10,O3,CO,NO2,SO2
52t,03/03/2019,06:00:00,21,42,27,0.49,-,-
52t,03/03/2019,07:00:00,25,47,22,0.58,3,-
52t,03/03/2019,08:00:00,25,48,29,0.52,-,-
52t,03/03/2019,09:00:00,27,49,31,0.5,-,-
52t,03/03/2019,10:00:00,23,44,34,0.53,1,-
52t,03/03/2019,11:00:00,28,46,38,0.56,3,-
52t,03/03/2019,12:00:00,26,49,41,0.58,5,-
52t,03/03/2019,13:00:00,24,49,48,0.58,1,-
52t,03/03/2019,14:00:00,27,50,47,0.6,2,-
52t,03/03/2019,15:00:00,27,52,-,-,-,-
52t,03/03/2019,16:00:00,26,50,35,0.7,5,-
52t,03/03/2019,17:00:00,22,46,29,0.69,5,-
52t,03/03/2019,18:00:00,26,48,23,0.58,3,-
52t,03/03/2019,19:00:00,20,40,20,0.5,1,-
52t,03/03/2019,20:00:00,21,43,21,0.43,-,-
52t,03/03/2019,21:00:00,19,38,22,0.43,1,-
52t,03/03/2019,22:00:00,17,41,24,0.4,-,-
52t,03/03/2019,23:00:00,15,39,25,0.39,-,-
52t,04/03/2019,00:00:00,17,34,26,0.37,-,-
52t,04/03/2019,01:00:00,19,34,27,0.36,-,-
52t,04/03/2019,02:00:00,18,32,26,0.36,-,-
52t,04/03/2019,03:00:00,17,34,26,0.36,-,-
52t,04/03/2019,04:00:00,19,33,-,-,-,-
52t,04/03/2019,05:00:00,21,36,21,0.45,-,-
52t,04/03/2019,06:00:00,22,34,15,0.57,4,-
52t,04/03/2019,07:00:00,20,40,16,0.67,4,-
52t,04/03/2019,08:00:00,25,41,23,0.6,1,-
52t,04/03/2019,09:00:00,19,40,25,0.51,1,-
52t,04/03/2019,10:00:00,19,44,28,0.47,-,-
52t,04/03/2019,11:00:00,21,44,30,0.42,-,-
52t,04/03/2019,12:00:00,24,43,31,0.44,1,-
52t,04/03/2019,13:00:00,17,38,29,0.47,1,-
52t,04/03/2019,14:00:00,15,35,30,0.47,-,-
52t,04/03/2019,15:00:00,17,40,31,0.52,1,-
52t,04/03/2019,16:00:00,14,36,26,0.54,1,-
52t,04/03/2019,17:00:00,15,31,24,0.57,1,-
52t,04/03/2019,18:00:00,18,32,19,0.67,3,-
52t,04/03/2019,19:00:00,17,39,25,0.52,2,-
52t,04/03/2019,20:00:00,21,37,23,0.53,3,-
52t,04/03/2019,21:00:00,24,38,26,0.47,-,-
52t,04/03/2019,22:00:00,23,38,30,0.41,-,-
52t,04/03/2019,23:00:00,17,37,37,0.4,-,-
52t,05/03/2019,00:00:00,22,34,43,0.4,-,-
52t,05/03/2019,01:00:00,22,40,44,0.4,-,-
52t,05/03/2019,02:00:00,27,43,43,0.42,-,-
52t,05/03/2019,03:00:00,27,41,-,-,-,-
52t,05/03/2019,04:00:00,24,35,32,0.43,-,-
52t,05/03/2019,05:00:00,22,39,20,0.59,5,-
52t,05/03/2019,06:00:00,28,49,7,0.95,17,-
52t,05/03/2019,07:00:00,36,53,13,0.91,11,-
52t,05/03/2019,08:00:00,31,52,23,0.73,5,-
52t,05/03/2019,09:00:00,28,45,27,0.67,8,-
52t,05/03/2019,10:00:00,25,36,35,0.54,3,-
52t,05/03/2019,11:00:00,23,43,40,0.48,1,-
52t,05/03/2019,12:00:00,24,46,41,0.51,1,-
52t,05/03/2019,13:00:00,26,42,44,0.47,1,-
